time_s,intensity_random_phase,intensity_locked_phase
5.9751336373e-08,1.9032270448e+00,9.5134404693e-03
5.9761343296e-08,1.9243075761e+00,1.8695941736e-02
5.9771350219e-08,1.9391895050e+00,3.8208923969e-02
5.9781357141e-08,1.9474241677e+00,7.6675712218e-02
5.9791364064e-08,1.9488395309e+00,1.4741674717e-01
5.9801370987e-08,1.9435246842e+00,2.6954276404e-01
5.9811377910e-08,1.9318035573e+00,4.6880440905e-01
5.9821384833e-08,1.9141999255e+00,7.7801674718e-01
5.9831391756e-08,1.8913960374e+00,1.2368833990e+00
5.9841398679e-08,1.8641873990e+00,1.8910743094e+00
5.9851405601e-08,1.8334363507e+00,2.7904636345e+00
5.9861412524e-08,1.8000270727e+00,3.9865072538e+00
5.9871419447e-08,1.7648245214e+00,5.5288273964e+00
