q_Ainv,omega_meV,intensity_clean,intensity_noisy
0.3595238095238095,-21.607142857142858,1.231565035674135,0.0
0.3595238095238095,-21.428571428571427,1.2391248053152382,0.0
0.3595238095238095,-21.25,1.2469684485059804,0.0
0.3595238095238095,-21.07142857142857,1.2551109722429201,4.0
0.3595238095238095,-20.892857142857142,1.2635684060995178,0.0
0.3595238095238095,-20.714285714285715,1.2723578873932486,0.0
0.3595238095238095,-20.535714285714285,1.2814977547316095,1.0
0.3595238095238095,-20.357142857142858,1.2910076508880655,1.0
0.3595238095238095,-20.17857142857143,1.30090863608136,1.0
0.3595238095238095,-20.0,1.3112233128716253,1.0
0.3595238095238095,-19.82142857142857,1.321975964047164,0.0
0.3595238095238095,-19.642857142857142,1.3331927050599157,0.0
0.3595238095238095,-19.464285714285715,1.344901652779372,2.0
0.3595238095238095,-19.285714285714285,1.357133112578606,1.0
0.3595238095238095,-19.107142857142858,1.3699197860475603,1.0
0.3595238095238095,-18.92857142857143,1.383297001954166,1.0
0.3595238095238095,-18.75,1.3973029734508278,1.0
0.3595238095238095,-18.57142857142857,1.4119790849613199,3.0
0.3595238095238095,-18.392857142857142,1.4273702126919359,4.0
0.3595238095238095,-18.214285714285715,1.4435250833035904,1.0
0.3595238095238095,-18.035714285714285,1.4604966759738467,4.0
0.3595238095238095,-17.857142857142858,1.4783426738878656,2.0
0.3595238095238095,-17.67857142857143,1.4971259721471033,1.0
0.3595238095238095,-17.5,1.516915250200758,4.0
0.3595238095238095,-17.32142857142857,1.5377856182195118,0.0
0.3595238095238095,-17.142857142857142,1.5598193483827196,5.0
0.3595238095238095,-16.964285714285715,1.58310670388577,0.0
0.3595238095238095,-16.785714285714285,1.6077468806507589,3.0
0.3595238095238095,-16.607142857142858,1.633849079310159,2.0
0.3595238095238095,-16.42857142857143,1.6615337281141493,10.0
0.3595238095238095,-16.25,1.690933881090691,1.0
0.3595238095238095,-16.07142857142857,1.7221968201892937,2.0
0.3595238095238095,-15.892857142857142,1.7554858954189227,3.0
